Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2012/13,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,371044
2012/13,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,669566
2012/13,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37739
2012/13,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5755
2012/13,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8273
2012/13,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,794
2012/13,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6776
2012/13,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,17928
2012/13,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4481
2012/13,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5550
2012/13,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10624
2012/13,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4233
2012/13,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16426
2012/13,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2648
2012/13,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,60619
2012/13,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,82845
2012/13,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,122926
2012/13,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,89913
2012/13,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17121
2012/13,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,53185
2012/13,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2745
2012/13,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3635
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,10870
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,18216
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3647
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,76686
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47796
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11578
2012/13,All codes,All admissions,All admissions,Attributable number,Female,173000
2012/13,C00-D48,All cancers,All cancers,Attributable number,Female,47500
2012/13,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,63700
2012/13,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,40300
2012/13,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9100
2012/13,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,27500
2012/13,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2800
2012/13,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,4900
2012/13,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,600
2012/13,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,800
2012/13,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,5100
2012/13,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2012/13,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,600
2012/13,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,2600
2012/13,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900
2012/13,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1500
2012/13,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2100
2012/13,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,46300
2012/13,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,15200
2012/13,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12200
2012/13,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,16200
2012/13,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3000
2012/13,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7000
2012/13,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500
2012/13,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2012/13,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,4900
2012/13,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2800
2012/13,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1400
2012/13,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,7200
2012/13,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,4700
2012/13,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500
2011/12,All codes,All admissions,All admissions,Number of admissions,,10164003
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1562569
2011/12,C00-D48,All cancers,All cancers,Number of admissions,,1532698
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,490804
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,893156
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1362664
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,84241
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,20109
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,28923
2011/12,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4586
2011/12,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,7083
2011/12,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,83963
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,14632
2011/12,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,20124
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,24531
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8963
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,40136
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5508
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,108359
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,145419
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,265235
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,277560
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41486
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105488
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12067
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,9366
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22596
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,30389
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,5732
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,118410
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,65608
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,12055
2011/12,All codes,All admissions,All admissions,Attributable number,,459700
2011/12,C00-D48,All cancers,All cancers,Attributable number,,163700
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,121300
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,136400
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,18300
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,68500
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,13300
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,19300
2011/12,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,3700
2011/12,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,800
2011/12,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,34100
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,3700
2011/12,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,4300
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,5900
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,3200
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,6800
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,4700
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,84800
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,31800
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,38600
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,64100
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,7200
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,17000
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,7400
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,2000
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,11100
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,,4900
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,,2400
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,,12600
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,,6900
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,,500
2011/12,All codes,All admissions,All admissions,Number of admissions,Male,4759706
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,859215
2011/12,C00-D48,All cancers,All cancers,Number of admissions,Male,750509
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,246349
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,514783
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,671345
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47124
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,14501
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,20574
2011/12,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3722
2011/12,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2011/12,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,63567
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9595
2011/12,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,14510
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,12698
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3938
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,23681
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2934
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,52881
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,74755
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,145316
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,184963
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24327
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,52534
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9302
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,6011
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11416
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,13134
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2249
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,48495
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,16988
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2011/12,All codes,All admissions,All admissions,Attributable number,Male,287000
2011/12,C00-D48,All cancers,All cancers,Attributable number,Male,113600
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,62800
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,94000
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,9100
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,41000
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,10500
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14200
2011/12,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3000
2011/12,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2011/12,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,27900
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3200
2011/12,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3600
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,2900
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5200
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2600
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,41600
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,18600
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,26000
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,46700
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4100
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9800
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,5900
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2200
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1000
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,5600
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1700
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2011/12,All codes,All admissions,All admissions,Number of admissions,Female,5404297
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,703354
2011/12,C00-D48,All cancers,All cancers,Number of admissions,Female,782189
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,244455
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,378373
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,691319
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,37117
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5608
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8349
2011/12,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,864
2011/12,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,7083
2011/12,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,20396
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5037
2011/12,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5614
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,11833
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5025
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16455
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2574
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,55478
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,70664
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,119919
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,92597
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,17159
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52954
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2765
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,3355
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11180
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,17255
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3483
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,69915
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48620
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,12055
2011/12,All codes,All admissions,All admissions,Attributable number,Female,172800
2011/12,C00-D48,All cancers,All cancers,Attributable number,Female,50000
2011/12,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,58500
2011/12,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,42400
2011/12,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9200
2011/12,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,27500
2011/12,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2800
2011/12,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,5100
2011/12,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,700
2011/12,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,800
2011/12,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,6200
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2011/12,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,700
2011/12,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,3100
2011/12,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1100
2011/12,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1600
2011/12,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2100
2011/12,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,43200
2011/12,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,13200
2011/12,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12600
2011/12,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,17400
2011/12,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3200
2011/12,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7200
2011/12,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1600
2011/12,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2011/12,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5100
2011/12,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2700
2011/12,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1400
2011/12,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,7000
2011/12,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,5200
2011/12,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500
2010/11,All codes,All admissions,All admissions,Number of admissions,,
2010/11,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1534176
2010/11,C00-D48,All cancers,All cancers,Number of admissions,,1455823
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,490845
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,886996
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1289163
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,81162
2010/11,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,19715
2010/11,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29528
2010/11,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4820
2010/11,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6504
2010/11,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,81663
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,13813
2010/11,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,20368
2010/11,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,23553
2010/11,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,9127
2010/11,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,37198
2010/11,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,6130
2010/11,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,112790
2010/11,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,141899
2010/11,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,256619
2010/11,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,276670
2010/11,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41840
2010/11,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,103388
2010/11,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,11626
2010/11,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,8527
2010/11,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22885
2010/11,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,28285
2010/11,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,5378
2010/11,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,113171
2010/11,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,64545
2010/11,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,12972
2010/11,All codes,All admissions,All admissions,Attributable number,,459900
2010/11,C00-D48,All cancers,All cancers,Attributable number,,160300
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,126200
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,135400
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,18100
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,66200
